temp,dew point,humidity,wind speed,datetime
40,18,41,8,2024-02-06 19:51:00
39,20,46,9,2024-02-06 20:51:00
37,19,48,8,2024-02-06 21:51:00
36,20,52,6,2024-02-06 22:51:00
35,19,52,7,2024-02-06 23:51:00
39,26,60,0,2024-02-07 00:51:00
34,20,56,6,2024-02-07 01:51:00
34,19,54,6,2024-02-07 02:51:00
34,20,56,5,2024-02-07 03:51:00
34,19,54,5,2024-02-07 04:51:00
33,20,59,5,2024-02-07 05:51:00
33,20,59,6,2024-02-07 06:51:00
34,20,56,5,2024-02-07 07:51:00
35,20,54,7,2024-02-07 08:51:00
38,21,51,6,2024-02-07 09:51:00
39,21,49,9,2024-02-07 10:51:00
41,20,43,12,2024-02-07 11:51:00
43,21,42,8,2024-02-07 12:51:00
44,21,40,3,2024-02-07 13:51:00
47,22,37,5,2024-02-07 14:51:00
47,21,36,5,2024-02-07 15:51:00
48,20,33,7,2024-02-07 16:51:00
46,21,37,6,2024-02-07 17:51:00
47,19,33,7,2024-02-07 18:51:00
45,21,39,5,2024-02-07 19:51:00
44,20,38,6,2024-02-07 20:51:00
44,23,43,0,2024-02-07 21:51:00
41,26,55,6,2024-02-07 22:51:00
41,26,55,0,2024-02-07 23:51:00
43,34,71,10,2024-02-08 00:51:00
38,29,70,0,2024-02-08 01:51:00
39,30,70,3,2024-02-08 02:51:00
39,29,67,0,2024-02-08 03:51:00
37,26,65,0,2024-02-08 04:51:00
37,31,79,5,2024-02-08 05:51:00
36,29,76,6,2024-02-08 06:51:00
36,27,70,6,2024-02-08 07:51:00
38,24,57,6,2024-02-08 08:51:00
40,25,55,5,2024-02-08 09:51:00
42,22,45,6,2024-02-08 10:51:00
44,20,38,7,2024-02-08 11:51:00
47,20,34,6,2024-02-08 12:51:00
49,21,33,7,2024-02-08 13:51:00
51,21,31,6,2024-02-08 14:51:00
51,24,35,9,2024-02-08 15:51:00
50,24,36,10,2024-02-08 16:51:00
47,24,41,9,2024-02-08 17:51:00
44,27,51,12,2024-02-08 18:51:00
43,29,58,10,2024-02-08 19:51:00
43,30,60,7,2024-02-08 20:51:00
43,30,60,8,2024-02-08 21:51:00
43,31,62,9,2024-02-08 22:51:00
43,33,68,9,2024-02-08 23:51:00
42,37,82,5,2024-02-09 00:51:00
43,31,62,7,2024-02-09 01:51:00
42,30,62,9,2024-02-09 02:51:00
42,30,62,8,2024-02-09 03:51:00
43,30,60,5,2024-02-09 04:51:00
43,28,56,7,2024-02-09 05:51:00
42,31,65,8,2024-02-09 06:51:00
43,34,71,9,2024-02-09 07:51:00
43,37,80,12,2024-02-09 08:51:00
44,38,79,12,2024-02-09 09:51:00
46,38,73,9,2024-02-09 10:51:00
48,38,68,9,2024-02-09 11:51:00
50,39,66,10,2024-02-09 12:51:00
50,38,63,13,2024-02-09 13:51:00
51,38,61,14,2024-02-09 14:51:00
50,39,66,13,2024-02-09 15:51:00
49,39,69,13,2024-02-09 16:51:00
48,39,71,13,2024-02-09 17:51:00
47,39,74,9,2024-02-09 18:51:00
46,39,76,6,2024-02-09 19:51:00
45,38,76,7,2024-02-09 20:51:00
45,39,80,7,2024-02-09 21:51:00
44,37,76,0,2024-02-09 22:51:00
44,38,79,0,2024-02-09 23:51:00
54,43,66,5,2024-02-10 00:51:00
42,37,82,5,2024-02-10 01:51:00
42,37,82,7,2024-02-10 02:51:00
40,37,89,6,2024-02-10 03:51:00
40,37,89,5,2024-02-10 04:51:00
40,36,86,5,2024-02-10 05:51:00
40,36,86,0,2024-02-10 06:51:00
40,37,89,3,2024-02-10 07:51:00
43,39,86,5,2024-02-10 08:51:00
48,40,74,7,2024-02-10 09:51:00
51,38,61,5,2024-02-10 10:51:00
54,38,55,8,2024-02-10 11:51:00
55,38,53,8,2024-02-10 12:51:00
57,40,53,8,2024-02-10 13:51:00
58,40,51,8,2024-02-10 14:51:00
58,41,53,9,2024-02-10 15:51:00
59,42,53,7,2024-02-10 16:51:00
59,42,53,9,2024-02-10 17:51:00
58,43,58,7,2024-02-10 18:51:00
57,43,59,13,2024-02-10 19:51:00
55,41,59,5,2024-02-10 20:51:00
56,42,60,0,2024-02-10 21:51:00
51,40,66,0,2024-02-10 22:51:00
55,42,62,0,2024-02-10 23:51:00
43,29,58,9,2024-02-11 00:51:00
55,43,64,3,2024-02-11 01:51:00
52,43,71,8,2024-02-11 02:51:00
51,42,71,7,2024-02-11 03:51:00
50,38,63,15,2024-02-11 04:51:00
47,35,63,13,2024-02-11 05:51:00
46,32,58,12,2024-02-11 06:51:00
45,31,58,12,2024-02-11 07:51:00
45,30,56,14,2024-02-11 08:51:00
45,29,53,13,2024-02-11 09:51:00
45,29,53,10,2024-02-11 10:51:00
45,30,56,10,2024-02-11 11:51:00
45,29,53,9,2024-02-11 12:51:00
46,29,51,9,2024-02-11 13:51:00
47,28,48,8,2024-02-11 14:51:00
47,29,50,9,2024-02-11 15:51:00
46,30,54,8,2024-02-11 16:51:00
46,30,54,12,2024-02-11 17:51:00
46,30,54,9,2024-02-11 18:51:00
46,29,51,12,2024-02-11 19:51:00
45,30,56,9,2024-02-11 20:51:00
44,30,58,9,2024-02-11 21:51:00
44,30,58,7,2024-02-11 22:51:00
43,29,58,8,2024-02-11 23:51:00
39,27,62,15,2024-02-12 00:51:00
39,27,62,13,2024-02-12 00:59:00
42,28,58,9,2024-02-12 01:51:00
41,28,60,9,2024-02-12 02:51:00
40,27,60,8,2024-02-12 03:51:00
39,26,60,8,2024-02-12 04:51:00
38,27,65,3,2024-02-12 05:51:00
38,27,65,0,2024-02-12 06:51:00
38,27,65,7,2024-02-12 07:51:00
38,27,65,6,2024-02-12 08:51:00
40,27,60,6,2024-02-12 09:51:00
40,27,60,7,2024-02-12 10:51:00
41,27,57,9,2024-02-12 11:51:00
43,28,56,0,2024-02-12 12:51:00
45,28,52,7,2024-02-12 13:51:00
46,28,50,5,2024-02-12 14:51:00
47,28,48,0,2024-02-12 15:51:00
45,29,53,9,2024-02-12 16:51:00
45,28,52,8,2024-02-12 17:51:00
45,28,52,8,2024-02-12 18:51:00
43,28,56,12,2024-02-12 19:51:00
42,28,58,13,2024-02-12 20:51:00
41,27,57,9,2024-02-12 21:51:00
40,27,60,8,2024-02-12 22:51:00
40,27,60,9,2024-02-12 23:51:00
39,23,53,12,2024-02-13 00:51:00
39,28,65,15,2024-02-13 01:11:00
39,28,65,14,2024-02-13 01:51:00
39,27,62,17,2024-02-13 02:13:00
39,28,65,18,2024-02-13 02:31:00
39,28,65,18,2024-02-13 02:51:00
39,28,65,18,2024-02-13 03:01:00
38,28,68,17,2024-02-13 03:34:00
37,28,70,21,2024-02-13 03:45:00
36,28,73,17,2024-02-13 03:51:00
34,28,79,13,2024-02-13 04:30:00
34,28,79,10,2024-02-13 04:35:00
34,29,82,13,2024-02-13 04:51:00
34,29,82,14,2024-02-13 04:57:00
33,29,85,16,2024-02-13 05:07:00
33,29,85,14,2024-02-13 05:26:00
33,29,85,14,2024-02-13 05:35:00
34,30,87,18,2024-02-13 05:47:00
33,30,89,16,2024-02-13 05:51:00
33,30,89,20,2024-02-13 06:41:00
