"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT16","WT18"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-08-28",,,"0.00","0.0","0.0",,"98","77",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-08-29",,,"0.00","0.0","0.0",,"96","78",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-08-30",,,"0.00","0.0","0.0",,"90","72",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-08-31",,,"0.00","0.0","0.0",,"83","63",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-01",,,"0.00","0.0","0.0",,"78","58",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-02",,,"0.00","0.0","0.0",,"77","59",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-03",,,"0.00","0.0","0.0",,"76","65",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-04",,,"0.00","0.0","0.0",,"78","63",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-05",,,"0.00","0.0","0.0",,"79","65",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-06",,,"0.00","0.0","0.0",,"78","62","    1",,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-07",,,"0.00","0.0","0.0",,"79","64","    1",,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-08",,,"0.00","0.0","0.0",,"79","66","    1",,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-09",,,"0.08","0.0","0.0",,"82","70","    1",,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-10",,,"0.95","0.0","0.0",,"74","63","    1",,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-11",,,"0.00","0.0","0.0",,"77","61","    1",,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-12",,,"0.00","0.0","0.0",,"81","64",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-13",,,"0.00","0.0","0.0",,"82","68",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-14",,,"0.00","0.0","0.0",,"81","63",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-15",,,"0.00","0.0","0.0",,"74","56",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-16",,,"0.00","0.0","0.0",,"71","53",,,,,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-17",,,"0.00","0.0","0.0",,"71","51",,,,,,,"    1",,,
